id;value;symbol;image_front;image_front_content_type
1;mobile Grocery;Electronics;../fake-data/blob/hipster.png;image/png
2;copying maroon;AI iterate GB;../fake-data/blob/hipster.png;image/png
3;Spur Progressive;New Jersey Lead;../fake-data/blob/hipster.png;image/png
4;haptic compressing;turquoise Global;../fake-data/blob/hipster.png;image/png
5;Principal Paradigm;Via engineer e-tailers;../fake-data/blob/hipster.png;image/png
6;Tactics;Pakistan Rupee International overriding;../fake-data/blob/hipster.png;image/png
7;Generic;Licensed Cotton Bacon;../fake-data/blob/hipster.png;image/png
8;intuitive Saint Martin Quality;optical plum middleware;../fake-data/blob/hipster.png;image/png
9;alarm functionalities;payment RSS;../fake-data/blob/hipster.png;image/png
10;compressing Identity;Avon;../fake-data/blob/hipster.png;image/png
